EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
35,Nicholas Walker,62162,Production Technician II,MA,08/19/77,"M ",Married,4/4/2011,NULL,Active,"Production       ",Indeed,Fully Meets,3.25,5
36,Danielle Turner,77692,Software Engineering Manager,MA,11/22/66,"M ",Single,8/15/2011,NULL,Active,Engineering,Google Search,Fully Meets,3.84,3
37,Matthew Evans,72640,Production Manager,MA,08/09/83,"M ",Single,1/28/2016,NULL,Active,"Production       ",Indeed,Exceeds,5,3
38,Christina Allen,93396,Software Engineer,MA,04/05/87,F,Single,11/11/2013,NULL,Active,Engineering,Indeed,Fully Meets,4.96,4
39,Andrew Davis,52846,Production Technician I,MA,02/02/83,"M ",Single,3/31/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.43,3
40,Heather King,100031,Sr. DBA,MA,06/06/86,F,Single,6/30/2016,NULL,Active,IT/IS,LinkedIn,Fully Meets,5,5
41,Jonathan Thomas,71860,Area Sales Manager,VT,05/15/63,F,Single,8/18/2014,NULL,Active,Sales,Indeed,Fully Meets,5,5
42,Amy Green,61656,Production Technician I,MA,01/02/51,F,Single,9/29/2014,NULL,Active,"Production       ",Google Search,Fully Meets,5,4
43,Anthony Garcia,110929,BI Director,MA,02/09/72,"M ",Married,9/6/2016,NULL,Active,IT/IS,Indeed,Fully Meets,4.5,5
44,Brittany Baker,54237,Production Technician I,MA,02/12/79,F,Single,5/12/2014,NULL,Active,"Production       ",Indeed,Fully Meets,3.3,4
45,Jason Mitchell,60380,Production Technician I,MA,08/24/83,"M ",Single,7/8/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.8,5
46,Rebecca Hernandez,66808,Area Sales Manager,TX,06/11/70,"M ",Single,5/14/2012,NULL,Active,Sales,Employee Referral,Fully Meets,3,5
47,Justin Lewis,64786,Production Technician I,MA,08/27/83,F,Single,6/27/2011,11/15/2015,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,4.3,4
48,Vanessa Hall,64816,Production Technician I,MA,05/31/88,F,Single,10/3/2011,NULL,Active,"Production       ",Indeed,Fully Meets,3.58,5
49,Brian Thompson,68678,IT Support,MA,09/05/85,"M ",Single,9/5/2012,NULL,Active,IT/IS,Indeed,Fully Meets,4.7,3
50,Chelsea Hill,64066,Production Technician II,MA,08/31/81,F,Married,5/16/2011,1/7/2013,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.2,5
51,Brandon Young,59369,Production Technician II,MA,11/25/78,"M ",Married,8/30/2010,9/26/2011,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,4.2,4
52,Amber Foster,50373,Production Technician I,MA,08/26/80,"M ",Married,7/6/2016,NULL,Active,"Production       ",Employee Referral,Exceeds,4.1,4
53,Timothy Harris,63108,Production Technician I,MA,09/08/77,"M ",Single,7/8/2013,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.4,5
54,Katie Wright,59144,Production Technician I,MA,08/12/79,"M ",Single,7/11/2011,9/23/2016,Terminated for Cause,"Production       ",LinkedIn,Needs Improvement,2,3
55,Kevin Scott,68051,Production Manager,MA,12/17/75,"M ",Divorced,7/20/2010,NULL,Active,"Production       ",CareerBuilder,Needs Improvement,4.13,2
56,Laura Carter,170500,Director of Operations,MA,03/19/83,"M ",Single,1/5/2009,NULL,Active,"Production       ",Indeed,Exceeds,3.7,5
57,Thomas Rodriguez,63381,Production Technician I,MA,03/31/77,F,Married,1/5/2015,NULL,Active,"Production       ",Indeed,Fully Meets,4.73,5
58,Anna Reed,83552,Data Analyst,MA,08/26/86,"M ",Married,3/30/2015,NULL,Active,IT/IS,Indeed,Fully Meets,3.04,3
59,Zachary Sanchez,56149,Production Technician I,MA,04/10/87,F,Single,7/6/2016,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.12,5
60,Jennifer Hughes,92329,Sr. Network Engineer,CT,09/09/65,"M ",Single,11/10/2014,NULL,Active,IT/IS,Employee Referral,Fully Meets,5,3
61,Alexander Murphy,65729,Sales Manager,VT,04/19/90,F,Single,5/5/2014,NULL,Active,Sales,Indeed,Fully Meets,4.62,4
62,Erica Simmons,85028,Sr. Network Engineer,CT,01/18/52,F,Married,11/10/2014,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.1,5
63,Jacob Murphy,57583,Production Technician I,MA,11/05/78,F,Married,7/2/2012,NULL,Active,"Production       ",Indeed,Fully Meets,5,3
64,Melissa Edwards,56294,Production Technician II,MA,09/14/79,"M ",Single,11/7/2011,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.96,4
65,Samuel Wright,56991,Production Technician I,MA,04/15/88,"M ",Married,7/9/2018,NULL,Active,"Production       ",Indeed,Fully Meets,4.3,4
66,Maria Phillips,55722,Production Technician I,MA,10/31/77,"M ",Married,5/16/2011,6/8/2016,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,5,4
67,Tyler Davis,101199,Software Engineer,MA,07/05/79,F,Single,1/9/2012,NULL,Active,Engineering,CareerBuilder,Fully Meets,3.79,5
68,Lindsey Russell,61568,Area Sales Manager,AL,11/02/75,"M ",Single,9/29/2014,NULL,Active,Sales,Indeed,PIP,1.93,3
69,Nicholas Green,58275,Production Technician II,MA,02/25/51,F,Separated,4/4/2011,11/4/2015,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.62,5
70,Kayla Coleman,53189,Production Technician I,MA,04/19/67,"M ",Married,7/7/2014,NULL,Active,"Production       ",Indeed,PIP,1.12,2
71,Eric Mitchell,96820,BI Developer,MA,09/04/83,"M ",Single,2/15/2017,NULL,Active,IT/IS,Indeed,Fully Meets,3.01,5
72,Shannon Bailey,51259,Production Technician I,MA,11/15/82,"M ",Single,5/12/2014,NULL,Active,"Production       ",Indeed,Fully Meets,4.3,4
73,Patrick Lopez,59231,Area Sales Manager,WA,05/14/87,F,Single,2/20/2012,NULL,Active,Sales,Website,PIP,2.3,1
74,Catherine Morris,61584,Production Technician I,MA,12/02/78,F,Married,1/7/2013,NULL,Active,"Production       ",Indeed,Needs Improvement,3.88,4
75,Benjamin Turner,46335,Production Technician I,MA,10/07/86,F,Single,4/2/2012,NULL,Active,"Production       ",CareerBuilder,Fully Meets,3.4,5
76,Holly Jenkins,70621,IT Support,MA,07/18/88,F,Married,1/5/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.11,4
77,Daniel Bell,138888,IT Manager - Support,MA,07/09/70,"M ",Single,1/5/2014,NULL,Active,IT/IS,Indeed,Exceeds,4.3,5
78,Stephanie Price,74241,Area Sales Manager,CA,11/08/88,F,Single,1/10/2011,NULL,Active,Sales,Indeed,Exceeds,4.77,5
79,Matthew Walker,75188,Production Manager,MA,11/28/73,F,Single,9/18/2014,NULL,Active,"Production       ",Google Search,Fully Meets,4.52,4
80,Brittany Cox,62514,Production Technician I,MA,09/23/73,F,Married,4/26/2010,NULL,Active,"Production       ",Google Search,Fully Meets,2.9,3
81,Anthony Hall,60070,Production Technician I,MA,09/05/91,F,Married,4/4/2011,6/6/2017,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,5,3
82,Victoria Turner,48888,Production Technician I,MA,05/31/74,"M ",Single,11/10/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.7,5
83,Christopher Wilson,54285,Production Technician I,MA,08/25/78,"M ",Married,3/31/2014,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.2,3
84,Courtney Adams,56847,Production Technician II,MA,08/25/89,F,Separated,7/7/2014,NULL,Active,"Production       ",Indeed,PIP,3,1
85,Justin Allen,60340,Production Technician I,MA,09/02/83,"M ",Single,4/2/2012,9/27/2018,Terminated for Cause,"Production       ",Google Search,Needs Improvement,5,4
86,Allison Ward,59124,Production Technician I,MA,05/06/89,F,Single,2/17/2014,2/25/2018,Terminated for Cause,"Production       ",Google Search,Needs Improvement,2.3,3
87,Andrew Scott,99280,Software Engineer,MA,05/15/87,F,Married,5/2/2011,6/5/2013,Terminated for Cause,Engineering,Indeed,Needs Improvement,2.1,5
88,Rachel Russell,71776,Production Technician II,MA,09/22/78,F,Married,7/7/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.4,5
89,Jonathan Turner,65902,Production Technician II,MA,09/27/87,F,Single,2/17/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4,4
90,Erin Martinez,57748,Production Technician I,MA,04/14/55,F,Married,11/7/2011,5/17/2016,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.13,3
91,Robert Roberts,64057,Production Technician I,MA,10/18/89,"M ",Married,5/11/2015,NULL,Active,"Production       ",Indeed,PIP,1.56,5
92,Megan Phillips,53366,Network Engineer,MA,06/18/87,"M ",Single,3/30/2015,NULL,Active,IT/IS,LinkedIn,PIP,1.2,3
93,Joshua Rodriguez,58530,Production Technician I,MA,03/16/81,F,Married,1/9/2012,NULL,Active,"Production       ",Google Search,Fully Meets,5,5
94,Kimberly James,72609,Production Technician II,MA,10/01/81,"M ",Single,5/16/2011,6/24/2013,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.76,5
95,William Harris,55965,Production Technician II,MA,11/08/83,F,Married,4/4/2011,1/9/2013,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.66,3
96,Morgan Bennett,70187,Area Sales Manager,MA,07/07/75,"M ",Married,9/29/2014,8/19/2018,Terminated for Cause,Sales,Employee Referral,PIP,2,5
97,David Hernandez,178000,IT Director,MA,07/05/80,"M ",Single,4/15/2011,NULL,Active,IT/IS,Indeed,Exceeds,5,5
98,Amber Patterson,99351,Sr. Accountant,MA,04/16/79,F,Married,1/5/2009,NULL,Active,Admin Offices,Other,Fully Meets,5,3
99,Michael Young,67251,Area Sales Manager,CT,08/28/63,"M ",Single,9/6/2011,NULL,Active,Sales,CareerBuilder,Fully Meets,4.3,3
100,Megan Mitchell,65707,IT Support,CT,07/06/68,F,Single,5/1/2010,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.7,4
101,Brian Clark,52249,Production Technician I,MA,09/15/85,"M ",Single,3/30/2015,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.5,3
102,Emily Adams,53171,Production Technician I,MA,12/02/83,F,Single,5/16/2011,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.2,4
103,Christopher Martinez,51337,Production Technician I,MA,10/01/90,F,Married,3/30/2015,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.73,3
104,Jessica Foster,51505,Production Technician I,MA,05/15/70,F,Divorced,11/7/2011,11/15/2016,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.24,4
105,Ryan Turner,59370,Area Sales Manager,OH,07/10/71,F,Widowed,7/7/2014,9/5/2015,Terminated for Cause,Sales,CareerBuilder,Fully Meets,3.97,4
106,Danielle Collins,54933,Production Technician I,MA,08/09/74,"M ",Married,4/2/2012,6/25/2015,Voluntarily Terminated,"Production       ",Diversity Job Fair,Needs Improvement,3.97,4
107,Benjamin Campbell,57815,Production Technician I,MA,05/08/80,F,Single,9/29/2014,NULL,Active,"Production       ",Indeed,Exceeds,3.9,4
108,Samantha Griffin,61555,Area Sales Manager,IN,09/22/89,F,Single,2/16/2015,NULL,Active,Sales,Indeed,Fully Meets,4.5,5
109,Joseph Nelson,114800,Database Administrator,MA,10/23/71,F,Single,2/16/2015,3/15/2015,Terminated for Cause,IT/IS,Indeed,Fully Meets,4.6,4
110,Ashley Simmons,74679,IT Support,MA,11/24/89,"M ",Married,3/30/2015,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.3,5
111,Nicholas Richardson,53018,Production Technician I,MA,06/18/92,F,Single,11/11/2013,NULL,Active,"Production       ",Indeed,Fully Meets,4.3,5
112,Jennifer Parker,59892,Production Technician I,MA,09/29/69,"M ",Divorced,7/11/2011,NULL,Active,"Production       ",Diversity Job Fair,Exceeds,4.5,4
113,John Thompson,68898,Production Technician II,MA,10/12/64,"M ",Married,4/26/2010,5/30/2011,Voluntarily Terminated,"Production       ",Diversity Job Fair,PIP,3,3
114,Laura Wright,61242,IT Support,MA,04/16/81,F,Separated,1/5/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.61,4
115,Zachary Reed,66825,Production Technician II,MA,05/25/86,F,Married,5/12/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.6,3
116,Amanda Morris,48285,Production Technician I,MA,05/21/79,"M ",Married,7/2/2012,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,3
117,William Carter,66149,Production Technician II,MA,12/08/83,F,Separated,9/30/2013,NULL,Active,"Production       ",Google Search,Fully Meets,4.4,5
118,Emily Lewis,49256,Production Technician I,MA,10/09/74,F,Married,8/19/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.1,5
119,James Evans,62957,Production Manager,MA,07/11/81,"M ",Divorced,6/2/2015,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.63,3
120,Brittany Davis,63813,Production Technician I,MA,05/21/83,F,Divorced,2/21/2011,1/11/2014,Voluntarily Terminated,"Production       ",CareerBuilder,Fully Meets,5,5
121,Daniel Hernandez,99020,BI Developer,MA,06/30/89,"M ",Married,4/20/2017,NULL,Active,IT/IS,Indeed,Fully Meets,4.2,5
122,Amanda Hayes,71707,Area Sales Manager,TN,02/09/69,"M ",Single,3/7/2012,10/31/2014,Voluntarily Terminated,Sales,LinkedIn,Fully Meets,4.5,5
123,Matthew Reed,54828,Production Technician I,MA,03/23/77,F,Married,11/28/2011,NULL,Active,"Production       ",Google Search,Fully Meets,4.2,4
124,Erica Bell,64246,Production Technician II,MA,08/10/88,"M ",Single,11/11/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,3
125,Christopher Scott,52177,Production Technician I,MA,08/18/52,F,Single,1/9/2012,12/15/2015,Voluntarily Terminated,"Production       ",CareerBuilder,Fully Meets,4.64,4
126,Sarah Hill,62065,Production Technician I,MA,05/02/74,F,Married,5/12/2014,NULL,Active,"Production       ",CareerBuilder,Exceeds,4.76,4
127,David Parker,46998,Production Technician I,MA,01/04/84,"M ",Single,8/13/2012,NULL,Active,"Production       ",Google Search,Fully Meets,4.17,4
128,Christina Russell,68099,Production Technician II,MA,08/27/72,F,Single,1/10/2011,6/18/2013,Voluntarily Terminated,"Production       ",CareerBuilder,Fully Meets,5,3
129,Michael Phillips,70545,Area Sales Manager,NH,09/14/88,"M ",Married,8/18/2014,NULL,Active,Sales,Indeed,Fully Meets,3.6,5
130,Lauren King,63478,Production Technician II,MA,02/16/84,F,Married,8/15/2011,4/7/2012,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,3.03,5
131,Joshua Lewis,97999,Database Administrator,MA,02/21/84,F,Single,3/30/2015,NULL,Active,IT/IS,Indeed,Fully Meets,4.48,5
132,Stephanie Wilson,180000,Director of Sales,RI,03/17/66,F,Married,5/5/2014,NULL,Active,Sales,LinkedIn,Fully Meets,4.5,4
133,Jason Garcia,49920,Administrative Assistant,MA,09/16/85,F,Married,2/16/2015,4/15/2015,Terminated for Cause,Admin Offices,Indeed,Fully Meets,3.24,3
134,Rebecca Green,55425,Production Technician I,MA,06/10/86,F,Single,2/20/2012,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.8,4
135,Andrew Taylor,69340,Production Technician II,MA,03/11/84,F,Single,6/6/2016,NULL,Active,"Production       ",LinkedIn,Fully Meets,3,5
136,Jessica Wright,64995,Production Technician II,MA,05/07/92,F,Separated,6/5/2015,NULL,Active,"Production       ",Indeed,Fully Meets,4.5,3
137,Robert Lopez,68182,Production Technician II,MA,09/22/76,F,Divorced,2/21/2011,4/1/2013,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.72,3
138,Melissa Bennett,83082,Production Manager,MA,11/15/76,"M ",Married,2/21/2011,9/24/2012,Voluntarily Terminated,"Production       ",Indeed,Needs Improvement,2.34,2
139,William Adams,51908,Production Technician I,MA,01/28/91,F,Single,8/19/2013,NULL,Active,"Production       ",Indeed,Fully Meets,3.99,3
140,Samantha Morris,61242,Production Technician I,MA,09/11/72,F,Single,11/5/2012,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.1,3
141,Benjamin Young,45069,Production Technician I,MA,03/22/66,F,Divorced,9/30/2013,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.3,5
142,Elizabeth Campbell,60724,Production Technician II,MA,11/06/86,F,Divorced,7/5/2011,NULL,Active,"Production       ",LinkedIn,Exceeds,4.6,4
143,Jacob Richardson,60436,Production Technician I,MA,04/13/64,F,Separated,1/6/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,5
144,Ashley Jenkins,46837,Production Technician I,MA,08/19/59,"M ",Married,11/7/2011,4/29/2018,Voluntarily Terminated,"Production       ",CareerBuilder,Exceeds,4.7,4
145,Alexander Martin,105700,Database Administrator,MA,11/07/86,F,Married,1/5/2015,NULL,Active,IT/IS,Indeed,Fully Meets,3.75,3
146,Nicole Patterson,63322,Production Technician II,MA,09/08/69,F,Single,7/7/2014,NULL,Active,"Production       ",LinkedIn,Exceeds,4.3,3
147,Kevin Turner,61154,Production Technician I,MA,04/17/86,F,Married,1/10/2011,4/1/2016,Voluntarily Terminated,"Production       ",CareerBuilder,Fully Meets,4,4
148,Lindsey Collins,68999,Sales Manager,PA,11/11/89,F,Single,11/7/2011,4/24/2014,Voluntarily Terminated,Sales,Google Search,Fully Meets,4.5,5
149,Michael Thompson,50482,Production Technician I,MA,01/19/76,"M ",Single,9/30/2013,NULL,Active,"Production       ",Indeed,Fully Meets,3.07,4
150,Amanda Simmons,65310,Area Sales Manager,CO,11/27/79,"M ",Single,8/19/2013,NULL,Active,Sales,Indeed,Fully Meets,4.3,5
151,Christopher Smith,250000,President & CEO,MA,09/21/54,F,Married,7/2/2012,NULL,Active,Executive Office,Indeed,Fully Meets,4.83,3
152,Calvin Brooks,54005,Production Technician I,MA,12/08/73,F,Married,9/26/2011,6/4/2015,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.6,5
153,Emily Watson,45433,Production Technician I,MA,10/08/70,F,Married,9/26/2011,1/9/2014,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.49,4
154,Owen Stewart,46654,Production Technician I,MA,11/10/77,"M ",Single,2/17/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.1,3
155,Lily Anderson,63973,Production Technician I,MA,02/02/80,"M ",Married,1/10/2011,NULL,Active,"Production       ",Indeed,Fully Meets,3.38,3
156,Gabriel Murphy,71339,Area Sales Manager,NY,02/24/69,"M ",Single,3/7/2011,NULL,Active,Sales,Diversity Job Fair,Fully Meets,3.65,5
157,Sophia Mitchell,93206,Sr. Network Engineer,MA,04/23/86,"M ",Married,11/10/2014,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.46,5
158,Elijah Campbell,82758,Production Manager,MA,07/01/72,"M ",Married,1/10/2011,12/12/2015,Terminated for Cause,"Production       ",Employee Referral,Fully Meets,4.78,4
159,Ava Bennett,66074,Production Technician II,MA,07/25/79,F,Divorced,1/7/2013,3/31/2014,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,4.52,3
160,Julian Sanchez,46120,Production Technician I,MA,12/09/86,"M ",Married,7/9/2012,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,5
161,Grace Roberts,64520,Accountant I,MA,04/26/84,"M ",Divorced,1/6/2014,NULL,Active,Admin Offices,Website,Fully Meets,5,4
162,Isaac Foster,61962,Production Technician II,MA,05/09/84,"M ",Married,4/2/2012,4/15/2013,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.9,3
163,Olivia Henderson,81584,Senior BI Developer,MA,06/14/87,F,Single,10/2/2016,NULL,Active,IT/IS,Indeed,Fully Meets,4.1,5
164,Mason Clarke,63676,Production Technician I,MA,01/17/79,F,Single,9/26/2011,8/19/2018,Voluntarily Terminated,"Production       ",CareerBuilder,Fully Meets,4.88,3
165,Chloe Lewis,93046,Shared Services Manager,MA,06/10/84,"M ",Married,1/5/2016,NULL,Active,Admin Offices,CareerBuilder,Fully Meets,4.1,4
166,Samuel Rivera,64738,Production Technician I,MA,09/02/82,"M ",Married,5/14/2012,NULL,Active,"Production       ",Google Search,Fully Meets,4.1,3
167,Harper Price,70468,Area Sales Manager,UT,12/27/88,"M ",Separated,4/30/2012,NULL,Active,Sales,Website,Fully Meets,4.53,3
168,Ethan Adams,77915,Production Manager,MA,10/26/81,F,Married,9/30/2013,NULL,Active,"Production       ",Website,Exceeds,4.1,3
169,Amelia Bryant,52624,Production Technician I,MA,03/26/81,F,Married,7/5/2011,9/26/2018,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,3.18,4
170,Benjamin Carter,63450,Production Technician II,MA,03/19/79,"M ",Married,7/8/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4,3
171,Scarlett Hughes,51777,IT Support,CT,10/05/88,F,Single,1/21/2011,NULL,Active,IT/IS,Diversity Job Fair,Exceeds,4.64,4
172,Liam Turner,67237,Production Technician II,MA,12/26/76,F,Widowed,7/8/2013,9/15/2016,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,4.65,4
173,Abigail Reed,73330,Production Technician II,MA,03/28/82,F,Single,8/19/2013,NULL,Active,"Production       ",Indeed,Exceeds,4.2,4
174,Caleb Morgan,52057,Production Technician I,MA,10/22/75,F,Married,2/16/2015,NULL,Active,"Production       ",Website,Fully Meets,5,3
175,Sofia Wright,47434,Production Technician I,MA,02/14/73,F,Single,11/7/2011,11/14/2015,Voluntarily Terminated,"Production       ",Diversity Job Fair,Exceeds,5,4
176,Henry Gonzalez,52788,Production Technician I,MA,11/09/72,"M ",Widowed,9/24/2012,9/26/2017,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,3.08,4
177,Victoria Parker,45395,Production Technician I,MA,07/07/86,F,Single,1/6/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.6,4
178,Alexander Jenkins,62385,Production Technician II,MA,08/25/76,F,Married,5/11/2016,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,3
179,Lucy Bell,68407,Production Technician II,MA,12/10/86,F,Married,7/5/2011,8/19/2012,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,5,4
